observation_date,AKNGSP_PC1_20220930,ALNGSP_PC1_20220930,ARNGSP_PC1_20220930,CANGSP_PC1_20220930,CONGSP_PC1_20220930,CTNGSP_PC1_20220930,FLNGSP_PC1_20220930,GANGSP_PC1_20220930,HINGSP_PC1_20220930,IANGSP_PC1_20220930,ILNGSP_PC1_20220930,INNGSP_PC1_20220930,KSNGSP_PC1_20220930,KYNGSP_PC1_20220930,LANGSP_PC1_20220930,MANGSP_PC1_20220930,MDNGSP_PC1_20220930,MENGSP_PC1_20220930,MINGSP_PC1_20220930,MNNGSP_PC1_20220930,MSNGSP_PC1_20220930,MTNGSP_PC1_20220930,NCNGSP_PC1_20220930,NENGSP_PC1_20220930,NHNGSP_PC1_20220930,NJNGSP_PC1_20220930,NYNGSP_PC1_20220930,OHNGSP_PC1_20220930,OKNGSP_PC1_20220930,ORNGSP_PC1_20220930,PANGSP_PC1_20220930,RINGSP_PC1_20220930,SCNGSP_PC1_20220930,SDNGSP_PC1_20220930,TNNGSP_PC1_20220930,TXNGSP_PC1_20220930,UTNGSP_PC1_20220930,VANGSP_PC1_20220930,VTNGSP_PC1_20220930,WANGSP_PC1_20220930,WINGSP_PC1_20220930,WVNGSP_PC1_20220930,WYNGSP_PC1_20220930
2008-01-01,11.2,0.89672,1.347,2.41157,4.19615,1.87434,-2.47486,-0.76946,2.36053,-0.27673,0.69404,0.74191,3.8147,1.73074,4.60567,3.23875,4.39439,0.50318,-4.68598,2.04435,3.64409,2.73699,4.30956,2.13897,-0.13256,4.49795,-0.24929,-0.16918,10.29941,3.3463,3.92215,-0.13371,0.70042,4.36233,2.23151,4.46664,2.0603,3.3023,4.84561,3.73362,0.3966,5.77206,15.88193
2009-01-01,-9.4,-2.06009,-2.20517,-2.80401,-2.95281,-2.36301,-3.65767,-1.62996,-1.71823,-0.4754,-0.73241,-4.43201,-2.53133,-1.50359,-3.52437,-0.07001,1.25338,0.80965,-5.5548,-1.99375,-2.8803,-2.78604,-1.82372,1.45093,1.33338,-2.7746,3.89492,-2.94581,-8.78973,-3.22455,-0.99992,0.89831,-1.26472,-0.46472,-0.75094,-6.00237,-2.72532,1.56499,0.38424,-1.00033,0.16024,1.44494,-15.33724
2010-01-01,6.8,3.69641,4.08007,3.38207,2.81518,0.6041,1.5648,2.07536,3.59909,3.9003,2.54548,7.30476,2.5867,5.66987,9.95672,5.28324,5.22416,2.21502,5.77902,4.63293,2.34323,5.93653,2.15777,5.40011,3.71176,2.13562,5.46931,3.78082,5.22011,2.83815,3.88082,3.70234,2.50072,3.89648,2.15715,6.52798,4.10965,3.89934,5.00935,4.05779,3.7308,3.7704,3.94102
2011-01-01,6.7,3.7616,4.21889,3.55189,3.5679,-0.65671,1.1127,3.24393,3.30627,4.38974,3.97296,3.1122,6.04053,3.11174,2.05766,3.4993,3.67075,0.61103,3.72054,4.67051,2.42157,6.93602,2.78436,9.13004,2.01963,0.65009,1.96776,5.52922,7.74425,3.95626,3.32093,1.49146,3.7472,10.67195,4.67002,7.65474,5.81041,1.91758,3.69291,3.85149,3.87294,4.90222,5.49539
2012-01-01,2.4,2.89745,2.57545,4.42779,3.47904,3.32529,3.08577,3.73234,4.08402,6.77597,4.83753,3.14316,4.00363,3.82127,2.36565,4.08765,1.91317,2.10022,4.48308,3.93291,4.39668,3.28283,3.0975,2.80701,3.54465,4.28056,6.46259,3.32271,5.19659,2.33258,3.69806,2.7425,3.22127,4.79661,6.12544,5.95271,3.14379,2.48019,2.89457,5.52083,4.03308,1.57162,-2.25401
2013-01-01,-1.8,2.92815,4.36456,5.07755,5.53328,0.25134,4.26523,3.79398,3.68485,2.30979,2.02676,3.86824,1.87917,3.58177,-1.93394,2.57482,2.42211,1.47244,3.45008,4.28994,1.91402,3.18132,3.85841,4.41447,2.88782,3.28346,2.8079,3.80993,4.47195,2.8158,3.18604,2.81314,4.16118,3.32449,3.32512,6.61531,4.58481,2.61605,0.16518,4.6343,2.58521,1.64855,1.11799
2014-01-01,-1.3,1.34506,2.57191,5.17461,5.95676,2.1032,4.92031,5.44946,2.97553,6.71737,4.07957,5.0682,3.94537,1.87477,4.2909,3.55416,3.57736,3.56287,3.31572,4.37925,1.88462,3.40895,4.52602,4.36805,3.57426,1.62212,4.78894,5.13801,7.62852,4.78645,3.82511,2.87664,5.05035,3.14014,3.4781,4.23073,4.94624,1.64787,2.7648,5.1434,4.01909,1.63217,2.59813
2015-01-01,-8.8,2.51536,1.41847,5.92088,3.6113,5.22748,6.6723,6.311,5.8054,4.16151,3.70444,1.21583,3.17918,2.88817,-2.33607,6.03288,4.80971,3.04995,5.13756,3.31909,1.54774,3.15845,5.32654,4.08117,4.77127,3.75634,3.96278,2.58186,-4.99208,6.66535,2.88994,3.35614,5.89855,2.74616,6.25207,-0.36732,4.92669,3.99945,2.77049,5.90986,3.99461,-1.83033,-4.67296
2016-01-01,-1.5,2.46872,1.15938,3.88421,2.86561,1.61183,4.93469,5.09368,3.30431,0.39495,0.88916,2.57723,3.5447,1.58821,-3.41231,3.16453,4.86988,3.65225,3.2171,2.54242,1.29992,-2.38863,3.36022,1.40008,3.41549,2.17799,4.28377,2.00416,-2.98219,5.30565,1.73046,1.70719,4.52028,2.24921,3.41842,0.35059,5.81542,2.52893,2.35313,4.41094,2.13503,-0.55259,-6.63051
2017-01-01,5.1,3.49036,2.78156,6.1919,5.83332,2.94796,5.22278,4.79055,3.93615,1.96115,2.21428,3.55368,2.94888,2.74184,6.21897,3.18096,3.20416,3.31793,2.42041,2.7914,2.15246,6.68925,4.27586,3.03074,1.90656,2.07124,3.43544,3.5894,5.13594,5.34566,2.73605,1.27542,3.78695,2.19953,4.28781,5.96697,6.85724,3.04298,1.91054,6.59473,1.34908,5.49275,3.0706
2018-01-01,3.0,4.31162,4.13908,6.17345,6.60323,3.12397,5.39418,4.98263,3.5697,3.76856,4.93962,5.84111,4.3349,3.31219,6.41109,6.03499,2.66275,5.17801,3.60757,5.18751,2.37307,4.90997,3.52112,4.3449,4.05941,4.54282,5.79637,3.32676,6.38116,6.51932,3.68903,2.07592,4.4721,4.11447,3.48217,8.13768,9.37303,4.26354,2.48155,8.64526,4.45735,5.84442,5.92471
2019-01-01,-0.3,3.44082,3.16978,5.02186,5.99728,3.07702,5.1205,5.91436,1.75123,2.1889,2.75848,2.12636,2.44942,4.76418,-0.46591,4.76863,2.32688,4.90752,2.3012,3.211,1.81165,1.98068,4.69938,3.81953,4.13546,3.83059,5.30168,4.50465,0.7301,4.26774,3.34782,3.96689,5.46012,3.25435,4.70259,2.72804,6.54969,4.66459,3.52015,5.47885,3.83093,0.16757,0.6543
2020-01-01,-7.8,-0.28925,1.81702,-0.74016,-0.82918,-4.2674,0.47999,-1.96974,-10.20229,0.65107,-3.6645,-1.92865,0.57571,-0.7456,-8.98463,-0.80589,-2.24571,2.98382,-2.27571,-1.86016,0.77822,0.82888,0.73923,2.05806,1.1444,-2.75152,-2.62137,-1.83375,-6.9194,0.29672,-3.53494,-1.41493,-0.25518,3.11085,-0.29501,-3.70271,2.84651,-0.13837,-0.61991,2.9799,-1.34554,-3.50164,-7.85635
2021-01-01,13.6,10.05561,10.9779,11.6903,11.52579,8.0268,12.432,10.58498,10.37202,10.09088,10.35435,10.4857,7.77094,9.3682,11.20017,9.60128,8.03028,10.21105,10.0173,9.45935,10.58369,12.11709,10.55322,8.69708,12.83212,10.13731,9.2194,10.55473,13.29697,9.76913,9.44557,9.54458,9.96212,10.78192,12.69591,14.62821,11.48098,8.61142,9.06916,10.52588,8.22693,11.60881,14.25748
